Material,Fornecedor 1 (CN-NM),Fornecedor 2 (RER),Fornecedor 3 (RoW),Fornecedor 4 (CN-NM ADAPTADO BR)
Blasting,60,130,85,105
Fatty acid,1.48,4.2,2.2,2.46
Fatty alcohol,2.18,3.15,2.95,1.84
Hard coal,0.139,0.139,0.139,0.121
Mine infrastructure - iron,10,11,13,11
Rare earth tailings,26.38,65,65,50
Recultivation - iron mine,2500,6000,1500,1800
Sodium hydroxide - without water - in 50% solution state,0.335,0.658,0.335,0.498
Sodium silicate - spray powder 80%,30,45,37,50
Steel - chromium steel 18/8,1.8,2.5,1.88,5.3
Diesel,7.67,3.902,4.58,5
Electricity,0.096,0.205,0.154,0.129
Wastewater,0,0,0,0
