Material,Fornecedor 1 (CN-NM),Fornecedor 2 (RER),Fornecedor 3 (RoW),Fornecedor 4 (CN-NM ADAPTADO BR)
Blasting,0.060132469,4.556626197,4.556626177,0.060132453
Fatty acid,0.041238406,3.772844909,5.695871861,0.0412384497
Fatty alcohol,0.00585228,3.395516478,3.503210055,0.0058522363
Hard coal,0.075953069,0.02460977825,0.01615487586,0.07595306759
Mine infrastructure - iron,0.000434803,0.000434805664,0.000434805664,0.000434805664
Rare earth tailings,0,0,0,0
Recultivation - iron mine,0.026849241,0.02684924434,0.02684924434,0.02684924434
Sodium hydroxide - without water - in 50% solution state,0.002361013,0.890699604,0.00236101709,0.00236101709
Sodium silicate - spray powder 80%,0.046726773,1.399598278,0.0467268434,0.0467268434
Steel - chromium steel 18/8,0.020323524,5.318758477,5.394684784,0.0203235785
Diesel,3.134056264,3.134056264,3.134056264,3.134056264
Electricity,0.14313063,0.201385403,0.201385403,0.14313063
Wastewater,0.032835014,0.032834974,0.032834974,0.032834974
