Alg,N,Nuniq,Nnd,HVratio,IGD,GD,PurityPct,Tempo
MOEA/D-AV,320,320,320,0.9973511982711428,0.008123773345929492,0.0016754658580842834,0.0,4570.593894999999
MO-MC-SHADE,308,308,308,0.9956976011815538,0.02375710891998385,0.0005825475249017415,2.9220779220779223,1941.8447800999998
Relax. Lagrangiana,24,24,24,0.9927622236121617,0.04513317337351717,0.0001033081135000391,95.83333333333333,1.206003
Branch and Bound,24,24,24,0.9927622236121617,0.04513317337351717,0.0001033081135000391,95.83333333333333,1.1921656
MILP,24,24,24,0.9927451986138998,0.04514021761510084,0.0001971352820384261,95.83333333333333,9.9740339
AHP,22,22,22,0.9887579090264013,0.06683902143999926,0.010525678290092563,18.181818181818183,1.4539013999999997
NSGA-II,500,381,381,0.9849138301886977,0.007066108481000728,0.002364835667850088,0.7874015748031497,7044.0931876999975
MOGA,389,44,44,0.9828218330054079,0.05302679360360718,0.009914024671828016,0.0,2052.2071508000004
MO-MCDE,38,38,38,0.9762569655962225,0.05446950844122897,0.0023335928414710805,0.0,1060.7647858999999
MOPSO,104,92,92,0.970811630027417,0.03069880068810513,0.015294910998327497,0.0,2611.9609143999996
MOEA/D,339,339,339,0.9660030041990698,0.01637511722634396,0.8066033668114547,0.0,5761.986894200001
MOEA/D-PS,153,153,153,0.9640843525225363,0.01815463106347319,0.0019615609245165555,0.0,196.43013610000003
ELECTRE,41,41,41,0.9618598189070557,0.06308691812950704,0.03947555700325226,12.195121951219512,15.817987600000002
MOEA/D-STN,581,581,581,0.9510172716704435,0.030186794752330003,0.0155587498558854,0.0,5720.3279926
PROMETHEE,31,31,31,0.937088705622977,0.15072953630813704,0.07224812463234322,3.225806451612903,13.129381599999997
SI-CDC,16,16,16,0.9291050361320526,0.11594014095226937,0.10857907527769839,0.0,2579.3389811
MO-SMAC-PE,9,9,9,0.9276119816331924,0.0644823860793308,0.012910204561341728,0.0,2790.41
Lexicografico,1,1,1,0.926204226371466,0.16415556503887932,0.00377214423944572,0.0,10.4502056
