K,A,B,Wilcoxon_p,p_Holm,signif_0.05,difPostos,Nemenyi_CD,signif_Nemenyi
2,MO-MC-SHADE,MO-MCDE,1.862645149230957e-09,1.862645149230957e-08,True,3.0,1.1137013363854185,True
2,MO-MC-SHADE,NSGA-II,2.60770320892334e-08,1.564621925354004e-07,True,1.7333333333333332,1.1137013363854185,True
2,MO-MC-SHADE,MOEA/D-AV,1.862645149230957e-09,1.862645149230957e-08,True,3.4333333333333327,1.1137013363854185,True
2,MO-MC-SHADE,MOPSO,9.220093488693237e-06,3.688037395477295e-05,True,0.9999999999999998,1.1137013363854185,False
2,MO-MCDE,NSGA-II,0.00012333691120147705,0.00037001073360443115,True,1.266666666666667,1.1137013363854185,True
2,MO-MCDE,MOEA/D-AV,0.010598260909318924,0.010598260909318924,True,0.4333333333333327,1.1137013363854185,False
2,MO-MCDE,MOPSO,1.862645149230957e-09,1.862645149230957e-08,True,2.0000000000000004,1.1137013363854185,True
2,NSGA-II,MOEA/D-AV,9.98377799987793e-07,4.991888999938965e-06,True,1.6999999999999997,1.1137013363854185,True
2,NSGA-II,MOPSO,0.0050126127898693085,0.010025225579738617,True,0.7333333333333334,1.1137013363854185,False
2,MOEA/D-AV,MOPSO,1.862645149230957e-09,1.862645149230957e-08,True,2.433333333333333,1.1137013363854185,True
5,MO-MC-SHADE,MO-MCDE,1.862645149230957e-09,1.862645149230957e-08,True,2.6,1.1137013363854185,True
5,MO-MC-SHADE,NSGA-II,0.0061949919909238815,0.01155298575758934,True,0.5,1.1137013363854185,False
5,MO-MC-SHADE,MOEA/D-AV,1.862645149230957e-09,1.862645149230957e-08,True,3.066666666666667,1.1137013363854185,True
5,MO-MC-SHADE,MOPSO,1.862645149230957e-09,1.862645149230957e-08,True,2.0,1.1137013363854185,True
5,MO-MCDE,NSGA-II,8.009374141693115e-08,4.805624485015869e-07,True,2.1,1.1137013363854185,True
5,MO-MCDE,MOEA/D-AV,0.00577649287879467,0.01155298575758934,True,0.4666666666666668,1.1137013363854185,False
5,MO-MCDE,MOPSO,0.0002562887966632843,0.0007688663899898529,True,0.6000000000000001,1.1137013363854185,False
5,NSGA-II,MOEA/D-AV,9.313225746154785e-09,6.51925802230835e-08,True,2.566666666666667,1.1137013363854185,True
5,NSGA-II,MOPSO,5.973502993583679e-06,2.9867514967918396e-05,True,1.5,1.1137013363854185,True
5,MOEA/D-AV,MOPSO,1.8244609236717224e-05,7.29784369468689e-05,True,1.0666666666666669,1.1137013363854185,False
13,MO-MC-SHADE,MO-MCDE,3.725290298461914e-09,3.3527612686157227e-08,True,1.8000000000000003,1.1137013363854185,True
13,MO-MC-SHADE,NSGA-II,9.90256667137146e-05,0.0003961026668548584,True,1.2666666666666666,1.1137013363854185,True
13,MO-MC-SHADE,MOEA/D-AV,3.725290298461914e-09,3.3527612686157227e-08,True,3.233333333333334,1.1137013363854185,True
13,MO-MC-SHADE,MOPSO,1.862645149230957e-09,1.862645149230957e-08,True,1.7000000000000002,1.1137013363854185,True
13,MO-MCDE,NSGA-II,0.40449450351297855,0.8089890070259571,False,0.5333333333333337,1.1137013363854185,False
13,MO-MCDE,MOEA/D-AV,4.7124922275543213e-07,2.8274953365325928e-06,True,1.4333333333333336,1.1137013363854185,True
13,MO-MCDE,MOPSO,0.13473508320748806,0.4042052496224642,False,0.10000000000000009,1.1137013363854185,False
13,NSGA-II,MOEA/D-AV,5.973502993583679e-06,2.9867514967918396e-05,True,1.9666666666666672,1.1137013363854185,True
13,NSGA-II,MOPSO,0.5561132747679949,0.8089890070259571,False,0.43333333333333357,1.1137013363854185,False
13,MOEA/D-AV,MOPSO,3.855675458908081e-07,2.6989728212356567e-06,True,1.5333333333333337,1.1137013363854185,True
