K,Tecnica,HV_mediana,HV_IQR,HV_media,HV_std,HV_min,HV_max,posto_medio
2,MO-MC-SHADE,0.9311110221198877,0.0006417625984544983,0.9310078393281318,0.0015227786215800258,0.9253378368536507,0.9362190296998346,1.1666666666666667
2,MO-MCDE,0.9232272200280648,0.0009827998716478437,0.923152855138829,0.0013173182067624213,0.9172798218109522,0.924644169125781,4.166666666666667
2,NSGA-II,0.9270205804899683,0.005453669011138307,0.9268318506146195,0.003888331971572843,0.9190264561410211,0.9310850055137561,2.9
2,MOEA/D-AV,0.921937664463792,0.0067878052884537965,0.9207311359927086,0.004253784078552583,0.9106287865604327,0.9290594024435279,4.6
2,MOPSO,0.9299199462438925,0.00047707065430258044,0.9294372759691925,0.00182449082947234,0.9244847136445534,0.9309030482595,2.1666666666666665
5,MO-MC-SHADE,0.9835663034242978,0.0036023852629943898,0.9830138146903182,0.0020864427435547854,0.9793978007918646,0.9862267978729975,1.3666666666666667
5,MO-MCDE,0.9644538501102029,0.010320203661676963,0.9637997741810046,0.0069399105344939,0.9500451257135654,0.9761282724280808,3.966666666666667
5,NSGA-II,0.97559666835305,0.01428925811653714,0.9792494038381195,0.007189915411099235,0.9689522205599357,0.9891362706934376,1.8666666666666667
5,MOEA/D-AV,0.951260815931374,0.013535155109999475,0.9564969355457805,0.01125922877809604,0.9407308979187586,0.9793299814983808,4.433333333333334
5,MOPSO,0.9686379751678769,0.0069051590072103375,0.9695403828735824,0.005096340125515067,0.9616810190138227,0.981506845346667,3.3666666666666667
13,MO-MC-SHADE,0.992283839834444,0.003472072672677684,0.9926184016572027,0.00378583470242882,0.9815154307306756,0.9973105903753614,1.4
13,MO-MCDE,0.9806076868275493,0.00395623543617496,0.9804090690264585,0.0024216548778161783,0.9760651510074836,0.9851798948270993,3.2
13,NSGA-II,0.9833192895888725,0.027063472294576285,0.9821023471192655,0.01256182707721418,0.9659800497794238,0.9996822370435944,2.6666666666666665
13,MOEA/D-AV,0.9638532184172812,0.015340900269329882,0.9625119125427806,0.013266096611151811,0.9332380148202858,0.9962787870344834,4.633333333333334
13,MOPSO,0.9818412950149251,0.011514784196934191,0.9830727858838174,0.006691790577853345,0.9726675854522318,0.9960005578459583,3.1
