K,Algoritmo,Rep,Custo_Total,Impacto_Ambiental,Tempo_Total_Segundos
13,MOEAD_AV,1,635.926567,4.236640,103.587
13,MOEAD_AV,1,635.929826,4.225473,103.587
13,MOEAD_AV,1,635.931509,4.220774,103.587
13,MOEAD_AV,1,635.937618,4.187316,103.587
13,MOEAD_AV,1,635.940877,4.172222,103.587
13,MOEAD_AV,1,635.942126,4.170245,103.587
13,MOEAD_AV,1,635.957049,4.166575,103.587
13,MOEAD_AV,1,635.962885,4.142342,103.587
13,MOEAD_AV,1,635.965353,4.134092,103.587
13,MOEAD_AV,1,635.966602,4.130265,103.587
13,MOEAD_AV,1,635.988965,4.118684,103.587
13,MOEAD_AV,1,635.995494,4.109854,103.587
13,MOEAD_AV,1,635.996285,4.109716,103.587
13,MOEAD_AV,1,636.031181,4.106575,103.587
13,MOEAD_AV,1,636.031972,4.106437,103.587
13,MOEAD_AV,1,636.075260,4.106380,103.587
13,MOEAD_AV,1,636.078181,4.106286,103.587
13,MOEAD_AV,1,636.092921,4.105502,103.587
13,MOEAD_AV,1,636.113868,4.103007,103.587
13,MOEAD_AV,1,636.141237,4.102842,103.587
13,MOEAD_AV,1,636.162184,4.101399,103.587
13,MOEAD_AV,1,636.174817,4.101020,103.587
13,MOEAD_AV,1,636.185398,4.094860,103.587
13,MOEAD_AV,1,636.209494,4.077862,103.587
13,MOEAD_AV,1,636.215324,4.035311,103.587
13,MOEAD_AV,1,636.225451,4.016394,103.587
13,MOEAD_AV,1,636.279961,4.011014,103.587
13,MOEAD_AV,1,636.307347,4.010355,103.587
13,MOEAD_AV,1,636.314857,4.009049,103.587
13,MOEAD_AV,1,636.315648,4.008912,103.587
13,MOEAD_AV,1,636.342243,4.007214,103.587
13,MOEAD_AV,1,636.343034,4.007076,103.587
13,MOEAD_AV,1,636.376597,4.006924,103.587
13,MOEAD_AV,1,636.390559,4.005606,103.587
13,MOEAD_AV,1,636.391350,4.005468,103.587
13,MOEAD_AV,1,636.403983,4.005089,103.587
13,MOEAD_AV,1,636.421762,4.004764,103.587
13,MOEAD_AV,1,636.442536,4.004419,103.587
13,MOEAD_AV,1,636.450300,4.004181,103.587
13,MOEAD_AV,1,636.452299,4.003481,103.587
13,MOEAD_AV,1,636.482711,4.002776,103.587
13,MOEAD_AV,1,636.498616,4.002573,103.587
13,MOEAD_AV,1,636.529028,4.001868,103.587
13,MOEAD_AV,1,636.535602,4.000909,103.587
13,MOEAD_AV,1,636.548052,3.997722,103.587
13,MOEAD_AV,1,636.553079,3.996729,103.587
13,MOEAD_AV,1,636.555372,3.988754,103.587
13,MOEAD_AV,1,636.591059,3.985476,103.587
13,MOEAD_AV,1,636.603646,3.961096,103.587
13,MOEAD_AV,1,636.606905,3.952868,103.587
13,MOEAD_AV,1,636.608154,3.948881,103.587
13,MOEAD_AV,1,636.613901,3.885344,103.587
13,MOEAD_AV,1,636.614516,3.850061,103.587
13,MOEAD_AV,1,636.620554,3.836895,103.587
13,MOEAD_AV,1,636.621169,3.801612,103.587
13,MOEAD_AV,1,636.624428,3.793225,103.587
13,MOEAD_AV,1,636.625677,3.789397,103.587
13,MOEAD_AV,1,636.632158,3.787846,103.587
13,MOEAD_AV,1,636.634799,3.781141,103.587
13,MOEAD_AV,1,636.637668,3.748780,103.587
13,MOEAD_AV,1,636.638169,3.743173,103.587
13,MOEAD_AV,1,636.640700,3.722618,103.587
13,MOEAD_AV,1,636.643959,3.714231,103.587
13,MOEAD_AV,1,636.645208,3.710403,103.587
13,MOEAD_AV,1,636.652107,3.704911,103.587
13,MOEAD_AV,1,636.654330,3.702147,103.587
13,MOEAD_AV,1,636.655366,3.696524,103.587
13,MOEAD_AV,1,636.656615,3.692696,103.587
13,MOEAD_AV,1,636.660138,3.690904,103.587
13,MOEAD_AV,1,636.663232,3.674961,103.587
13,MOEAD_AV,1,636.666491,3.666574,103.587
13,MOEAD_AV,1,636.667740,3.662746,103.587
13,MOEAD_AV,1,636.676862,3.654490,103.587
13,MOEAD_AV,1,636.687810,3.619754,103.587
13,MOEAD_AV,1,636.691069,3.611367,103.587
13,MOEAD_AV,1,636.692318,3.607539,103.587
13,MOEAD_AV,1,636.693824,3.588964,103.587
13,MOEAD_AV,1,636.721210,3.587128,103.587
13,MOEAD_AV,1,636.756106,3.583987,103.587
13,MOEAD_AV,1,636.756897,3.583849,103.587
13,MOEAD_AV,1,636.800185,3.583792,103.587
13,MOEAD_AV,1,636.805213,3.582241,103.587
13,MOEAD_AV,1,636.817846,3.581862,103.587
13,MOEAD_AV,1,636.853369,3.581698,103.587
13,MOEAD_AV,1,636.856399,3.581192,103.587
13,MOEAD_AV,1,636.864163,3.580954,103.587
13,MOEAD_AV,1,636.866162,3.580254,103.587
13,MOEAD_AV,1,636.907879,3.580104,103.587
13,MOEAD_AV,1,636.912479,3.579346,103.587
13,MOEAD_AV,1,636.932206,3.572582,103.587
13,MOEAD_AV,1,636.932888,3.571607,103.587
13,MOEAD_AV,1,636.933455,3.568755,103.587
13,MOEAD_AV,1,636.941539,3.566810,103.587
13,MOEAD_AV,1,636.942577,3.560498,103.587
13,MOEAD_AV,1,636.954236,3.557449,103.587
13,MOEAD_AV,1,636.955027,3.557311,103.587
13,MOEAD_AV,1,636.961556,3.548481,103.587
